symbol,name,sector,weight
COLL,COLLEGIUM PHARMACEUTICAL INC,-,0.000529
COLM,COLUMBIA SPORTSWEAR CO,-,0.002965
CON,CONCENTRA GROUP HOLDINGS PAR,-,0.003247
COO,COOPER COS INC/THE,-,0.017327
COP,CONOCOPHILLIPS,-,0.206794
COR,CENCORA INC,-,0.074906
CORT,CORCEPT THERAPEUTICS INC,-,0.010989
COST,COSTCO WHOLESALE CORP,-,0.611769
COTY,COTY INC CL A,-,0.000821
CPAY,CORPAY INC,-,0.038508
CPB,THE CAMPBELL S COMPANY,-,0.006599
CPF,CENTRAL PACIFIC FINANCIAL CO,-,0.001666
CPK,CHESAPEAKE UTILITIES CORP,-,0.00309
CPRI,CAPRI HOLDINGS LTD,-,0.003194
CPRT,COPART INC,-,0.038877
CPRX,CATALYST PHARMACEUTICALS INC,-,0.004468
CPT,CAMDEN PROPERTY TRUST,-,0.016706
CR,CRANE CO,-,0.013261
CRBG,COREBRIDGE FINANCIAL INC,-,0.010046
CRC,CALIFORNIA RESOURCES CORP,-,0.005809
CRGY,CRESCENT ENERGY INC A,-,0.003243
CRH,CRH PLC,-,0.09978
CRI,CARTER S INC,-,0.00236
CRK,COMSTOCK RESOURCES INC,-,0.001822
CRL,CHARLES RIVER LABORATORIES,-,0.013321
CRM,SALESFORCE INC,-,0.251231
CROX,CROCS INC,-,0.011525
CRS,CARPENTER TECHNOLOGY,-,0.035414
CRSR,CORSAIR GAMING INC,-,0.000507
CRUS,CIRRUS LOGIC INC,-,0.014886
CRVL,CORVEL CORP,-,0.001867
CRWD,CROWDSTRIKE HOLDINGS INC   A,-,0.257029
CSCO,CISCO SYSTEMS INC,-,0.725045
CSGP,COSTAR GROUP INC,-,0.020097
CSL,CARLISLE COS INC,-,0.017632
CSR,CENTERSPACE,-,0.000718
CSW,CSW INDUSTRIALS INC,-,0.00504
CSX,CSX CORP,-,0.124927
CTAS,CINTAS CORP,-,0.085842
CTKB,CYTEK BIOSCIENCES INC,-,0.000529
CTRE,CARETRUST REIT INC,-,0.005962
CTS,CTS CORP,-,0.003105
CTSH,COGNIZANT TECH SOLUTIONS A,-,0.03907
CTVA,CORTEVA INC,-,0.072637
CUBE,CUBESMART,-,0.013132
CUBI,CUSTOMERS BANCORP INC,-,0.003623
CURB,CURBLINE PROPERTIES CORP,-,0.003404
CUZ,COUSINS PROPERTIES INC,-,0.006118
CVBF,CVB FINANCIAL CORP,-,0.004832
CVCO,CAVCO INDUSTRIES INC,-,0.008498
CVI,CVR ENERGY INC,-,0.00145
CVLT,COMMVAULT SYSTEMS INC,-,0.008547
CVNA,CARVANA CO,-,0.065006
CVS,CVS HEALTH CORP,-,0.168976
CVSA,COVISTA INC,-,0.008565
CVX,CHEVRON CORP,-,0.504293
CW,CURTISS WRIGHT CORP,-,0.04119
CWEN,CLEARWAY ENERGY INC C,-,0.006824
CWK,CUSHMAN + WAKEFIELD LTD,-,0.003307
CWST,CASELLA WASTE SYSTEMS INC A,-,0.00746
CWT,CALIFORNIA WATER SERVICE GRP,-,0.003503
CXM,SPRINKLR INC A,-,0.000843
CXT,CRANE NXT CO,-,0.002621
CXW,CORECIVIC INC,-,0.004494
CYTK,CYTOKINETICS INC,-,0.011702
CZR,CAESARS ENTERTAINMENT INC,-,0.008784
D,DOMINION ENERGY INC,-,0.079137
DAL,DELTA AIR LINES INC,-,0.073526
DAN,DANA INC,-,0.00795
DAR,DARLING INGREDIENTS INC,-,0.014402
DASH,DOORDASH INC   A,-,0.084544
DAVE,DAVE INC,-,0.004022
DBD,DIEBOLD NIXDORF INC,-,0.004084
DBX,DROPBOX INC CLASS A,-,0.005308
DCH,DAUCH CORPORATION,-,0.000978
